code,theme,enabled,note,name_zh,market,official_industry,current_themes
6188,電腦週邊設備 / 綜合,1,current classified theme,廣明,TPEx,電腦及週邊設備業,電腦週邊設備 / 綜合
6189,IC通路,1,current classified theme,豐藝,TWSE,電子通路業,IC通路
6190,通信網路 / 綜合,1,current classified theme,萬泰科,TPEx,通信網路業,通信網路 / 綜合
6191,電子零組件 / 綜合,1,current classified theme,精成科,TWSE,電子零組件業,電子零組件 / 綜合
6192,電子設備整合 / 綜合,1,current classified theme,巨路,TWSE,其他電子業,電子設備整合 / 綜合
6194,電子零組件 / 綜合,1,current classified theme,育富,TPEx,電子零組件業,電子零組件 / 綜合
6195,居家生活 / 綜合,1,current classified theme,詩肯,TPEx,居家生活,居家生活 / 綜合
6196,電子設備整合 / 綜合,1,current classified theme,帆宣,TWSE,其他電子業,電子設備整合 / 綜合
6197,高速連接器 / 機構件,1,current classified theme,佳必琪,TWSE,電子零組件業,高速連接器 / 機構件
6198,建材營造 / 綜合,1,current classified theme,瑞築,TPEx,建材營造,建材營造 / 綜合
6199,綜合產業 / 綜合,1,current classified theme,天品,TPEx,其他,綜合產業 / 綜合
6201,電子設備整合 / 綜合,1,current classified theme,亞弘電,TWSE,其他電子業,電子設備整合 / 綜合
6202,半導體 / 綜合,1,current classified theme,盛群,TWSE,半導體業,半導體 / 綜合
6203,電子零組件 / 綜合,1,current classified theme,海韻電,TPEx,電子零組件業,電子零組件 / 綜合
6204,電子零組件 / 綜合,1,current classified theme,艾華,TPEx,電子零組件業,電子零組件 / 綜合
6205,電子零組件 / 綜合,1,current classified theme,詮欣,TWSE,電子零組件業,電子零組件 / 綜合
6206,電腦週邊設備 / 綜合,1,current classified theme,飛捷,TWSE,電腦及週邊設備業,電腦週邊設備 / 綜合
6207,電子零組件 / 綜合,1,current classified theme,雷科,TPEx,電子零組件業,電子零組件 / 綜合
6208,半導體 / 綜合,1,current classified theme,日揚,TPEx,半導體業,半導體 / 綜合
6209,光學鏡頭,1,current classified theme,今國光,TWSE,光電業,光學鏡頭
6210,電子零組件 / 綜合,1,current classified theme,慶生,TPEx,電子零組件業,電子零組件 / 綜合
6212,建材營造 / 綜合,1,current classified theme,理銘,TPEx,建材營造,建材營造 / 綜合
6213,PCB / CCL,1,current classified theme,聯茂,TWSE,電子零組件業,PCB / CCL
6214,資服 / AI Agent,1,current classified theme,精誠,TWSE,資訊服務業,資服 / AI Agent
6215,電子設備整合 / 綜合,1,current classified theme,和椿,TWSE,其他電子業,電子設備整合 / 綜合
6216,通信網路 / 綜合,1,current classified theme,居易,TWSE,通信網路業,通信網路 / 綜合
6217,電子零組件 / 綜合,1,current classified theme,中探針,TPEx,電子零組件業,電子零組件 / 綜合
6218,通信網路 / 綜合,1,current classified theme,豪勉,TPEx,通信網路業,通信網路 / 綜合
6219,建材營造 / 綜合,1,current classified theme,富旺,TPEx,建材營造,建材營造 / 綜合
6220,電子零組件 / 綜合,1,current classified theme,岳豐,TPEx,電子零組件業,電子零組件 / 綜合
6221,資服 / AI Agent,1,current classified theme,晉泰,TPEx,資訊服務業,資服 / AI Agent
6222,光電業 / 其他,1,current classified theme,上揚,TPEx,光電業,光電業 / 其他
6223,探針卡 / 測試介面,1,current classified theme,旺矽,TPEx,半導體業,探針卡 / 測試介面
6224,電子零組件 / 綜合,1,current classified theme,聚鼎,TWSE,電子零組件業,電子零組件 / 綜合
6225,光電業 / 其他,1,current classified theme,天瀚,TWSE,光電業,光電業 / 其他
6226,光電業 / 其他,1,current classified theme,光鼎,TWSE,光電業,光電業 / 其他
6227,IC通路,1,current classified theme,茂綸,TPEx,電子通路業,IC通路
6228,電腦週邊設備 / 綜合,1,current classified theme,全譜,TPEx,電腦及週邊設備業,電腦週邊設備 / 綜合
